category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,기타(고등 성당),1,0.0013,0.0017
relif_occurplc_type_raw,기타(고색역),1,0.0013,0.0017
relif_occurplc_type_raw,기타(공원 내 휴게실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(공항버스),1,0.0013,0.0017
relif_occurplc_type_raw,기타(관광버스내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(광교저수지),1,0.0013,0.0017
relif_occurplc_type_raw,기타(교구청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(교회 4층),1,0.0013,0.0017
relif_occurplc_type_raw,기타(교회 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(구급차안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(구민회관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(구청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(국세청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(군부대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(권선경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,기타(금호주야간보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(기도원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(기흥세무서 4층),1,0.0013,0.0017
relif_occurplc_type_raw,기타(꿈터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(남부119안전센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(남부경찰서 형사과),1,0.0013,0.0017
relif_occurplc_type_raw,기타(남부경찰청 통합당직실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(낭부경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,기타(노인보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(노인복지관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(노인복지센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(노인복지회관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(다리 밑),1,0.0013,0.0017
relif_occurplc_type_raw,기타(더사랑교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(더편한노인주간보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(도서관 주차장 차량 안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(도의회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(도청 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(동말놀이터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(만석공원 제2공영주차장 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(만석공원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(매교파출소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(매산지구대 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(매탄지구대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(모텔),1,0.0013,0.0017
relif_occurplc_type_raw,기타(물향기공원 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(미상 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(미용실 뒤 화장실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(버스 내부),1,0.0013,0.0017
relif_occurplc_type_raw,기타(버스내 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(버스정류장 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(버스정류장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(버스차고지),1,0.0013,0.0017
relif_occurplc_type_raw,기타(번화가),1,0.0013,0.0017
relif_occurplc_type_raw,기타(병무청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(병문청 주차차단기 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(병원앞도로),1,0.0013,0.0017
relif_occurplc_type_raw,기타(보훈교육연구원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(복지관 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(복지관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(봉구비어 수원광교점 앞 계단 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(블루핸즈 신영통현대서비스점),1,0.0013,0.0017
relif_occurplc_type_raw,기타(비닐하우스),1,0.0013,0.0017
relif_occurplc_type_raw,기타(사무실내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(사찰),1,0.0013,0.0017
relif_occurplc_type_raw,기타(산샘어린이공원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(산책로 돌다리),1,0.0013,0.0017
relif_occurplc_type_raw,기타(산책로),1,0.0013,0.0017
relif_occurplc_type_raw,기타(삼환아파트@ 15동 3-4라인),1,0.0013,0.0017
relif_occurplc_type_raw,기타(상가1층),1,0.0013,0.0017
relif_occurplc_type_raw,기타(상가앞 인도),1,0.0013,0.0017
